,index,code,gni_per_capita,life satisfaction in cantril ladder (world happiness report 2019),fertility,total population,continent,working hours per year
110,Aruba,ABW,26250.0,,1.854,104000.0,North America,no data
111,Algeria,DZA,4850.0,5.043086052,3.043,39728000.0,Africa,no data
112,Thailand,THA,5710.0,6.0115618710000005,1.538,68715000.0,Asia,2185.4456
113,Kazakhstan,KAZ,11380.0,6.00763607,2.741,17572000.0,Asia,no data
114,Djibouti,DJI,2730.0,,2.912,914000.0,Africa,no data
115,Bermuda,BMU,101120.0,,-99.0,64000.0,North America,no data
116,Sao Tome and Principe,STP,1650.0,,4.477,199000.0,Afrika,no data
117,China,CHN,7940.0,5.131433964,1.665,1406848000.0,Asia,2174.3501
118,Seychelles,SYC,14020.0,,2.435,95000.0,Africa,no data
119,Senegal,SEN,1320.0,4.769377232,4.841,14578000.0,Afrika,no data
120,Iraq,IRQ,5930.0,,3.972,35572000.0,asia,no data
121,Croatia,HRV,12970.0,5.536271095,1.4680000000000002,4233000.0,Europe,1827.651
122,St. Lucia,LCA,8730.0,,1.473,179000.0,North America,no data
123,Marshall Islands,MHL,4310.0,,-99.0,57000.0,Oceania,no data
124,Uganda,UGA,830.0,4.321714878,5.394,38225000.0,Afrika,no data
125,Cabo Verde,CPV,3210.0,,2.385,525000.0,Africa,no data
126,Guinea,GIN,760.0,5.25222683,4.933,11432000.0,Afrika,no data
127,Fiji,FJI,5100.0,,2.8,869000.0,Oceania,no data
128,Armenia,ARM,4010.0,5.062448502,1.7380000000000002,2926000.0,Asia,no data
129,Argentina,ARG,12570.0,5.792796612,2.301,43075000.0,South America,1691.5363
130,United Arab Emirates,ARE,42860.0,6.603743552999999,1.541,9263000.0,Asia,no data
131,Azerbaijan,AZE,6570.0,5.1679954530000005,2.113,9623000.0,Asia,no data
132,Liechtenstein,LIE,,,-99.0,37000.0,Europe,no data
133,Vanuatu,VUT,2910.0,,3.898,271000.0,Oceania,no data
134,San Marino,SMR,,,-99.0,33000.0,Europe,no data
135,Nepal,NPL,780.0,4.910086632,2.0980000000000003,27015000.0,Asia,no data
136,Niger,NER,560.0,5.164007187,7.169,20002000.0,Afrika,no data
137,Trinidad and Tobago,TTO,18980.0,,1.767,1370000.0,North America,no data
138,Cuba,CUB,7230.0,,1.6740000000000002,11325000.0,North America,no data
139,South Africa,ZAF,6050.0,4.8839220999999995,2.484,55386000.0,Africa,2209.0916
140,Paraguay,PRY,5620.0,,2.508,6689000.0,South America,no data
141,South Sudan,SSD,1090.0,,4.937,10716000.0,Afrika,no data
142,Puerto Rico,PRI,19420.0,,1.347,3382000.0,North America,no data
