,country_name,country_code,Population,Continent,GNI_Total,Income share held by highest 10%,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Percent),Trust in others (World Values Survey (2014)),Life satisfaction in Cantril Ladder (World Happiness Report 2020)
122,Northern Mariana Islands,MNP,56000.0,Oceania,,.,0.8569619101184924,,
123,Mozambique,MOZ,27042000.0,Africa,17306880000.0,.,0.7422805430231328,,
124,Mauritania,MRT,4046000.0,Africa,6635440000.0,24.8,0.7414760640366326,,
125,Mauritius,MUS,1259000.0,Africa,13471300000.0,29.0,0.31455822068756445,,
126,Malawi,MWI,16745000.0,Africa,5860750000.0,37.5,0.2262426419968719,,
127,Malaysia,MYS,30271000.0,Asia,323294280000.0,.,0.3649973326005402,8.53846,
128,Namibia,NAM,2315000.0,Africa,12246350000.0,.,2.0333200053255016,,
129,New Caledonia,NCL,271000.0,Oceania,,.,,,
130,Niger,NER,20002000.0,Africa,11201120000.0,26.8,0.6086620788021244,,
131,Nigeria,NGA,181136992.0,Africa,510806317440.0,.,0.44969080930052224,14.78113,
132,Nicaragua,NIC,6223000.0,North America,11761470000.0,37.5,2.0344968478646908,,
133,Netherlands,NLD,16938000.0,Europe,843681780000.0,23.3,0.09602445358243082,66.1757,
134,Norway,NOR,5200000.0,Europe,484172000000.0,21.6,0.09276939150293792,,
135,Nepal,NPL,27015000.0,Asia,21071700000.0,26.4,0.26616418684222737,,
136,Nauru,NRU,10000.0,Oceania,113900000.0,.,,,
137,New Zealand,NZL,4615000.0,Oceania,187553600000.0,.,0.18280556300900705,56.22733,
138,Oman,OMN,4267000.0,Asia,74459150000.0,.,0.21575770214785275,,
139,Pakistan,PAK,199427008.0,Asia,251278030080.0,26.0,0.6582317052004083,23.54949,
140,Panama,PAN,3968000.0,"America, North",48409600000.0,39.3,3.371020438162643,,
141,Peru,PER,30471000.0,"America, South",193186140000.0,33.4,0.8363617165028154,8.21577,
142,Philippines,PHL,102113000.0,Asia,345141940000.0,31.3,2.3818341253106525,2.83333,
143,Palau,PLW,18000.0,Oceania,285480000.0,.,,,
144,Papua New Guinea,PNG,8108000.0,Oceania,23188880000.0,.,1.1694433207322592,,
145,Poland,POL,38034000.0,Europe,506232540000.0,25.2,0.16887617422067167,22.256729999999997,
146,Puerto Rico,PRI,3382000.0,"America, North",65678440000.0,.,2.2140108262796563,,
147,Portugal,PRT,10368000.0,Europe,211921920000.0,27.4,0.12452364948702338,,
148,Paraguay,PRY,6689000.0,South America,37592180000.0,36.8,2.5799795038718174,,
149,West Bank and Gaza,PSE,4529000.0,Asia,16621430000.0,27.2,1.7975933021742254,15.8,
150,French Polynesia,PYF,273000.0,Oceania,,.,,,
151,Qatar,QAT,2566000.0,Asia,188447040000.0,.,0.5709195753460548,21.4151,
152,Romania,ROU,19925000.0,Europe,191280000000.0,21.6,0.15524277286939497,7.07138,
153,Russian Federation,RUS,144984992.0,Europe,1707923205760.0,29.7,1.179290519716217,27.735159999999997,
154,Rwanda,RWA,11369000.0,Africa,8526750000.0,43.2,0.5421775891407802,16.63392,
155,Saudi Arabia,SAU,31718000.0,Asia,752033780000.0,.,0.3186115821297137,,
156,Sudan,SDN,38903000.0,Africa,65746070000.0,.,0.2043184889032334,,
157,Senegal,SEN,14578000.0,Africa,19242960000.0,31.0,0.16831758706240946,,
158,Singapore,SGP,5592000.0,Asia,297270720000.0,.,0.13011273365075704,38.516259999999996,
159,Solomon Islands,SLB,603000.0,Oceania,1284390000.0,29.3,0.8045896844248621,,
160,Sierra Leone,SLE,7172000.0,Africa,3944600000.0,26.9,0.15079369137092036,,
161,El Salvador,SLV,6325000.0,North America,21758000000.0,32.0,8.306099444324564,,
162,San Marino,SMR,33000.0,Europe,,.,,,
163,Somalia,SOM,13797000.0,Africa,,.,0.9588845627696896,,
164,Serbia,SRB,8877000.0,Europe,52906920000.0,22.9,0.17630401894049566,,
165,South Sudan,SSD,10716000.0,Africa,11680440000.0,.,0.7943303540854463,,
166,Sao Tome and Principe,STP,199000.0,Africa,328350000.0,24.2,0.9688012027355144,,
167,Suriname,SUR,559000.0,"America, South",4857710000.0,.,1.2072452625077514,,
168,Slovak Republic,SVK,5436000.0,Europe,96054120000.0,20.3,0.2493400362088026,,
169,Slovenia,SVN,2071000.0,Europe,46079750000.0,21.1,0.10188228976741336,19.98124,
170,Sweden,SWE,9765000.0,Europe,570471300000.0,21.5,0.13103824603409575,63.758390000000006,
171,Eswatini,SWZ,1104000.0,Africa,4195200000.0,.,2.6042202536225307,,
172,Sint Maarten (Dutch part),SXM,40000.0,"America, North",1182400000.0,.,,,
173,Seychelles,SYC,95000.0,Africa,1331900000.0,39.9,0.8246326341697209,,
174,Syrian Arab Republic,SYR,17997000.0,Asia,,.,0.2962640126287994,,
175,Turks and Caicos Islands,TCA,36000.0,"America, North",919080000.0,.,,,
176,Chad,TCD,14111000.0,Africa,12417680000.0,32.4,0.597881404253964,,
177,Togo,TGO,7323000.0,Africa,4686720000.0,31.6,0.7965749233849501,,
178,Thailand,THA,68715000.0,Asia,392362650000.0,29.2,0.9088470560006052,32.573840000000004,
179,Tajikistan,TJK,8454000.0,Asia,10567500000.0,26.4,0.5571822906403209,,
180,Turkmenistan,TKM,5565000.0,Asia,39121950000.0,.,0.6159696395370277,,
181,Timor-Leste,TLS,1196000.0,Asia,2631200000.0,.,0.4872316259808727,,
182,Tonga,TON,101000.0,Oceania,448440000.0,.,0.3249431525354333,,
183,Trinidad and Tobago,TTO,1370000.0,"America, North",26002600000.0,.,2.7832800323192664,3.2032,
184,Tunisia,TUN,11180000.0,Africa,44272800000.0,27.0,0.10115734903486262,15.518670000000002,
185,Turkey,TUR,78529000.0,Asia,944703870000.0,31.6,0.4247955959132447,12.00762,
186,Tuvalu,TUV,11000.0,Oceania,59840000.0,30.7,,,
187,Tanzania,TZA,51483000.0,Africa,50453340000.0,31.0,0.8904983711113652,,
188,Uganda,UGA,38225000.0,Africa,31726750000.0,32.9,0.6546862252199231,,
189,Ukraine,UKR,44922000.0,Europe,121289400000.0,21.6,0.6528860835239056,23.71274,
190,Uruguay,URY,3412000.0,"America, South",53363680000.0,30.8,0.6259031239961544,14.43515,
191,United States,USA,320878016.0,"America, North",18209827408000.0,30.2,0.6956518330612376,38.17277,
192,Uzbekistan,UZB,30930000.0,Asia,80418000000.0,.,0.40136831786580335,13.922360000000001,
193,St. Vincent and the Grenadines,VCT,109000.0,"America, North",715040000.0,.,2.3561493483918468,,
194,British Virgin Islands,VGB,29000.0,North America,,.,,,
195,Virgin Islands (U.S.),VIR,105000.0,North America,,.,2.4730882430120382,,
196,Vietnam,VNM,92677000.0,Asia,182573690000.0,26.8,0.24965851853284565,,
197,Vanuatu,VUT,271000.0,Oceania,788610000.0,29.1,0.21372169803293364,,
198,Samoa,WSM,194000.0,Oceania,768240000.0,.,0.5653384846429599,,
199,South Africa,ZAF,55386000.0,Africa,335085300000.0,51.3,3.3041994195841813,23.50609,
200,Zambia,ZMB,15879000.0,Africa,25088820000.0,44.4,0.8391670928210427,,
201,Zimbabwe,ZWE,13815000.0,Africa,17683200000.0,33.8,1.0027336493108536,7.2,
202,,,,,,,,,
203,,,,,,,,,
204,,,,,,,,,
