country,code,gni_per_capita,population,continent,top10_share,homicide
Peru,PER,6340.0,30471000.0,South America,33.4,0.8363617165028154
Philippines,PHL,3380.0,102113000.0,Asia,31.3,2.3818341253106525
Palau,PLW,15860.0,18000.0,Oceania,,
Papua New Guinea,PNG,2860.0,8108000.0,Oceania,,1.1694433207322592
Poland,POL,13310.0,38034000.0,Europe,25.2,0.16887617422067167
Puerto Rico,PRI,19420.0,3382000.0,North America,,2.2140108262796563
Portugal,PRT,20440.0,10368000.0,Europe,27.4,0.12452364948702338
Paraguay,PRY,5620.0,6689000.0,South America,36.8,2.5799795038718174
West Bank and Gaza,PSE,3670.0,4529000.0,Asia,27.2,1.7975933021742254
French Polynesia,PYF,,273000.0,Oceania,,
Qatar,QAT,73440.0,2566000.0,Asia,,0.5709195753460548
Romania,ROU,9600.0,19925000.0,Europe,21.6,0.15524277286939497
Russian Federation,RUS,11780.0,144984992.0,Europe,29.7,1.179290519716217
Rwanda,RWA,750.0,11369000.0,Africa,43.2,0.5421775891407802
Saudi Arabia,SAU,23710.0,31718000.0,Asia,,0.3186115821297137
Sudan,SDN,1690.0,38903000.0,Africa,,0.2043184889032334
Senegal,SEN,1320.0,14578000.0,Africa,31.0,0.16831758706240946
Singapore,SGP,53160.0,5592000.0,Asia,,0.13011273365075704
Solomon Islands,SLB,2130.0,603000.0,Oceania,29.3,0.8045896844248621
Sierra Leone,SLE,550.0,7172000.0,Africa,26.9,0.15079369137092036
El Salvador,SLV,3440.0,6325000.0,North America,32.0,8.306099444324564
San Marino,SMR,,33000.0,Europe,,
Somalia,SOM,,13797000.0,Africa,,0.9588845627696896
Serbia,SRB,5960.0,8877000.0,Europe,22.9,0.17630401894049566
South Sudan,SSD,1090.0,10716000.0,Africa,,0.7943303540854463
Sao Tome and Principe,STP,1650.0,199000.0,Africa,24.2,0.9688012027355144
Suriname,SUR,8690.0,559000.0,South America,,1.2072452625077514
Slovak Republic,SVK,17670.0,5436000.0,Europe,20.3,0.2493400362088026
Slovenia,SVN,22250.0,2071000.0,Europe,21.1,0.10188228976741336
Sweden,SWE,58420.0,9765000.0,Europe,21.5,0.13103824603409575
Eswatini,SWZ,3800.0,1104000.0,Africa,,2.6042202536225307
Sint Maarten (Dutch part),SXM,29560.0,40000.0,North America,,
Seychelles,SYC,14020.0,95000.0,Africa,39.9,0.8246326341697209
Syrian Arab Republic,SYR,,17997000.0,Asia,,0.2962640126287994
Turks and Caicos Islands,TCA,25530.0,36000.0,North America,,
Chad,TCD,880.0,14111000.0,Africa,32.4,0.597881404253964
Togo,TGO,640.0,7323000.0,Africa,31.6,0.7965749233849501
Thailand,THA,5710.0,68715000.0,Asia,29.2,0.9088470560006052
Tajikistan,TJK,1250.0,8454000.0,Asia,26.4,0.5571822906403209
Turkmenistan,TKM,7030.0,5565000.0,Asia,,0.6159696395370277
Timor-Leste,TLS,2200.0,1196000.0,Asia,,0.4872316259808727
Tonga,TON,4440.0,101000.0,Oceania,,0.3249431525354333
Trinidad and Tobago,TTO,18980.0,1370000.0,North America,,2.7832800323192664
Tunisia,TUN,3960.0,11180000.0,Africa,27.0,0.10115734903486262
Turkey,TUR,12030.0,78529000.0,Asia,31.6,0.4247955959132447
Tuvalu,TUV,5440.0,11000.0,Oceania,30.7,
Tanzania,TZA,980.0,51483000.0,Africa,31.0,0.8904983711113652
Uganda,UGA,830.0,38225000.0,Africa,32.9,0.6546862252199231
Ukraine,UKR,2700.0,44922000.0,Europe,21.6,0.6528860835239056
Uruguay,URY,15640.0,3412000.0,South America,30.8,0.6259031239961544
United States,USA,56750.0,320878016.0,North America,30.2,0.6956518330612376
Uzbekistan,UZB,2600.0,30930000.0,Asia,,0.40136831786580335
St. Vincent and the Grenadines,VCT,6560.0,109000.0,North America,,2.3561493483918468
British Virgin Islands,VGB,,29000.0,North America,,
Virgin Islands (U.S.),VIR,,105000.0,North America,,2.4730882430120382
Vietnam,VNM,1970.0,92677000.0,Asia,26.8,0.24965851853284565
Vanuatu,VUT,2910.0,271000.0,Oceania,29.1,0.21372169803293364
Samoa,WSM,3960.0,194000.0,Oceania,,0.5653384846429599
South Africa,ZAF,6050.0,55386000.0,Africa,51.3,3.3041994195841813
Zambia,ZMB,1580.0,15879000.0,Africa,44.4,0.8391670928210427
Zimbabwe,ZWE,1280.0,13815000.0,Africa,33.8,1.0027336493108536
